Leybold GmbH
S/N = 000518
sw-version = 1.11.00
samplingtime[s] = 10
unit = mbar
Setpoints;Channel;SP-On;SP-Off
1;Off;na;na
2;Off;na;na
3;Off;na;na
4;Off;na;na
5;Off;na;na
6;Off;na;na
Leak test parameter
unit = mbar*l/s
Interval[min] = 1 
Volume[l] = 1.00
Channel = 1

date time;ch1 =  ;ch2 =  ;leak rate
;DU200;NOSEN
2021-05-11 12:38:35;1.1;....;n.a.
2021-05-11 12:38:45;1.0;....;n.a.
2021-05-11 12:38:55;0.9;....;n.a.
2021-05-11 12:39:05;0.9;....;n.a.
2021-05-11 12:39:15;0.9;....;n.a.
2021-05-11 12:39:25;0.9;....;n.a.
2021-05-11 12:39:35;0.9;....;n.a.
2021-05-11 12:39:45;0.8;....;n.a.
2021-05-11 12:39:55;0.8;....;n.a.
2021-05-11 12:40:05;0.9;....;n.a.
2021-05-11 12:40:15;0.8;....;n.a.
2021-05-11 12:40:25;0.8;....;n.a.
2021-05-11 12:40:35;0.8;....;n.a.
2021-05-11 12:40:45;0.8;....;n.a.
2021-05-11 12:40:55;0.8;....;n.a.
2021-05-11 12:41:05;0.8;....;n.a.
2021-05-11 12:41:15;0.8;....;n.a.
2021-05-11 12:41:25;0.8;....;n.a.
2021-05-11 12:41:35;0.8;....;n.a.
2021-05-11 12:41:45;0.8;....;n.a.
2021-05-11 12:41:55;0.8;....;n.a.
2021-05-11 12:42:05;0.8;....;n.a.
2021-05-11 12:42:15;0.8;....;n.a.
2021-05-11 12:42:25;0.8;....;n.a.
2021-05-11 12:42:35;0.8;....;n.a.
2021-05-11 12:42:45;0.7;....;n.a.
2021-05-11 12:42:55;0.7;....;n.a.
2021-05-11 12:43:05;0.7;....;n.a.
2021-05-11 12:43:15;0.7;....;n.a.
2021-05-11 12:43:25;0.7;....;n.a.
2021-05-11 12:43:35;0.7;....;n.a.
2021-05-11 12:43:45;0.7;....;n.a.
2021-05-11 12:43:55;0.7;....;n.a.
2021-05-11 12:44:05;0.7;....;n.a.
2021-05-11 12:44:15;0.7;....;n.a.
2021-05-11 12:44:25;0.7;....;n.a.
2021-05-11 12:44:35;0.7;....;n.a.
2021-05-11 12:44:45;0.7;....;n.a.
2021-05-11 12:44:55;0.7;....;n.a.
2021-05-11 12:45:05;0.7;....;n.a.
2021-05-11 12:45:15;0.7;....;n.a.
2021-05-11 12:45:25;0.7;....;n.a.
2021-05-11 12:45:35;0.7;....;n.a.
2021-05-11 12:45:45;0.7;....;n.a.
2021-05-11 12:45:55;0.7;....;n.a.
2021-05-11 12:46:05;0.7;....;n.a.
2021-05-11 12:46:15;0.6;....;n.a.
2021-05-11 12:46:25;0.7;....;n.a.
2021-05-11 12:46:35;0.7;....;n.a.
2021-05-11 12:46:45;0.6;....;n.a.
2021-05-11 12:46:55;0.6;....;n.a.
2021-05-11 12:47:05;0.6;....;n.a.
2021-05-11 12:47:15;0.6;....;n.a.
2021-05-11 12:47:25;0.6;....;n.a.
2021-05-11 12:47:35;0.6;....;n.a.
2021-05-11 12:47:45;0.7;....;n.a.
2021-05-11 12:47:55;0.7;....;n.a.
2021-05-11 12:48:05;0.6;....;n.a.
2021-05-11 12:48:15;0.7;....;n.a.
2021-05-11 12:48:25;0.6;....;n.a.
2021-05-11 12:48:35;0.7;....;n.a.
2021-05-11 12:48:45;0.7;....;n.a.
2021-05-11 12:48:55;0.6;....;n.a.
2021-05-11 12:49:05;0.6;....;n.a.
2021-05-11 12:49:15;0.6;....;n.a.
2021-05-11 12:49:25;0.6;....;n.a.
2021-05-11 12:49:35;0.6;....;n.a.
2021-05-11 12:49:45;0.6;....;n.a.
2021-05-11 12:49:55;0.6;....;n.a.
2021-05-11 12:50:05;0.6;....;n.a.
2021-05-11 12:50:15;0.6;....;n.a.
2021-05-11 12:50:25;0.6;....;n.a.
2021-05-11 12:50:35;0.6;....;n.a.
2021-05-11 12:50:45;0.6;....;n.a.
2021-05-11 12:50:55;0.6;....;n.a.
2021-05-11 12:51:05;0.6;....;n.a.
2021-05-11 12:51:15;0.6;....;n.a.
2021-05-11 12:51:25;0.6;....;n.a.
2021-05-11 12:51:35;0.6;....;n.a.
2021-05-11 12:51:45;0.6;....;n.a.
2021-05-11 12:51:55;0.6;....;n.a.
2021-05-11 12:52:05;0.6;....;n.a.
2021-05-11 12:52:15;0.6;....;n.a.
2021-05-11 12:52:25;0.6;....;n.a.
2021-05-11 12:52:35;0.6;....;n.a.
2021-05-11 12:52:45;0.6;....;n.a.
2021-05-11 12:52:55;0.6;....;n.a.
2021-05-11 12:53:05;0.6;....;n.a.
2021-05-11 12:53:15;0.6;....;n.a.
2021-05-11 12:53:25;0.6;....;n.a.
2021-05-11 12:53:35;0.6;....;n.a.
2021-05-11 12:53:45;0.6;....;n.a.
2021-05-11 12:53:55;0.6;....;n.a.
2021-05-11 12:54:05;0.6;....;n.a.
2021-05-11 12:54:15;0.6;....;n.a.
2021-05-11 12:54:25;0.6;....;n.a.
2021-05-11 12:54:35;0.6;....;n.a.
2021-05-11 12:54:45;0.5;....;n.a.
2021-05-11 12:54:55;0.6;....;n.a.
2021-05-11 12:55:05;0.6;....;n.a.
2021-05-11 12:55:15;0.6;....;n.a.
2021-05-11 12:55:25;0.5;....;n.a.
2021-05-11 12:55:35;0.6;....;n.a.
2021-05-11 12:55:45;0.6;....;n.a.
2021-05-11 12:55:55;0.6;....;n.a.
2021-05-11 12:56:05;0.6;....;n.a.
2021-05-11 12:56:15;0.6;....;n.a.
2021-05-11 12:56:25;0.6;....;n.a.
2021-05-11 12:56:35;0.6;....;n.a.
2021-05-11 12:56:45;0.5;....;n.a.
2021-05-11 12:56:55;0.6;....;n.a.
2021-05-11 12:57:05;0.6;....;n.a.
2021-05-11 12:57:15;0.6;....;n.a.
2021-05-11 12:57:25;0.6;....;n.a.
2021-05-11 12:57:35;0.5;....;n.a.
2021-05-11 12:57:45;0.5;....;n.a.
2021-05-11 12:57:55;0.6;....;n.a.
2021-05-11 12:58:05;0.6;....;n.a.
2021-05-11 12:58:15;0.5;....;n.a.
2021-05-11 12:58:25;0.5;....;n.a.
2021-05-11 12:58:35;0.6;....;n.a.
2021-05-11 12:58:45;0.6;....;n.a.
2021-05-11 12:58:55;0.5;....;n.a.
2021-05-11 12:59:05;0.5;....;n.a.
2021-05-11 12:59:15;0.5;....;n.a.
2021-05-11 12:59:25;0.6;....;n.a.
2021-05-11 12:59:35;0.6;....;n.a.
2021-05-11 12:59:45;0.6;....;n.a.
2021-05-11 12:59:55;0.6;....;n.a.
2021-05-11 13:00:05;0.6;....;n.a.
2021-05-11 13:00:15;0.5;....;n.a.
2021-05-11 13:00:25;0.6;....;n.a.
2021-05-11 13:00:35;0.6;....;n.a.
2021-05-11 13:00:45;0.6;....;n.a.
2021-05-11 13:00:55;0.6;....;n.a.
2021-05-11 13:01:05;0.6;....;n.a.
2021-05-11 13:01:15;0.5;....;n.a.
2021-05-11 13:01:25;0.5;....;n.a.
2021-05-11 13:01:35;0.5;....;n.a.
2021-05-11 13:01:45;0.5;....;n.a.
2021-05-11 13:01:55;0.6;....;n.a.
2021-05-11 13:02:05;0.6;....;n.a.
2021-05-11 13:02:15;0.6;....;n.a.
2021-05-11 13:02:25;0.6;....;n.a.
2021-05-11 13:02:35;0.6;....;n.a.
2021-05-11 13:02:45;0.6;....;n.a.
2021-05-11 13:02:55;0.6;....;n.a.
2021-05-11 13:03:05;0.6;....;n.a.
2021-05-11 13:03:15;0.5;....;n.a.
2021-05-11 13:03:25;0.6;....;n.a.
2021-05-11 13:03:35;0.6;....;n.a.
2021-05-11 13:03:45;0.6;....;n.a.
2021-05-11 13:03:55;0.6;....;n.a.
2021-05-11 13:04:05;0.5;....;n.a.
2021-05-11 13:04:15;0.5;....;n.a.
2021-05-11 13:04:25;0.5;....;n.a.
2021-05-11 13:04:35;0.5;....;n.a.
2021-05-11 13:04:45;0.5;....;n.a.
2021-05-11 13:04:55;0.5;....;n.a.
2021-05-11 13:05:05;0.5;....;n.a.
2021-05-11 13:05:15;0.5;....;n.a.
2021-05-11 13:05:25;0.5;....;n.a.
2021-05-11 13:05:35;0.5;....;n.a.
2021-05-11 13:05:45;0.5;....;n.a.
2021-05-11 13:05:55;0.6;....;n.a.
2021-05-11 13:06:05;0.5;....;n.a.
2021-05-11 13:06:15;0.5;....;n.a.
2021-05-11 13:06:25;0.5;....;n.a.
2021-05-11 13:06:35;0.5;....;n.a.
2021-05-11 13:06:45;0.5;....;n.a.
2021-05-11 13:06:55;0.5;....;n.a.
2021-05-11 13:07:05;0.5;....;n.a.
2021-05-11 13:07:15;0.5;....;n.a.
2021-05-11 13:07:25;0.5;....;n.a.
2021-05-11 13:07:35;0.5;....;n.a.
2021-05-11 13:07:45;0.5;....;n.a.
2021-05-11 13:07:55;0.5;....;n.a.
2021-05-11 13:08:05;0.5;....;n.a.
2021-05-11 13:08:15;0.5;....;n.a.
2021-05-11 13:08:25;0.5;....;n.a.
2021-05-11 13:08:35;0.5;....;n.a.
2021-05-11 13:08:45;0.5;....;n.a.
2021-05-11 13:08:55;0.5;....;n.a.
2021-05-11 13:09:05;0.5;....;n.a.
2021-05-11 13:09:15;0.5;....;n.a.
2021-05-11 13:09:25;0.5;....;n.a.
2021-05-11 13:09:35;0.5;....;n.a.
2021-05-11 13:09:45;0.5;....;n.a.
2021-05-11 13:09:55;0.5;....;n.a.
2021-05-11 13:10:05;0.5;....;n.a.
2021-05-11 13:10:15;0.5;....;n.a.
2021-05-11 13:10:25;0.5;....;n.a.
2021-05-11 13:10:35;0.5;....;n.a.
2021-05-11 13:10:45;0.5;....;n.a.
2021-05-11 13:10:55;0.5;....;n.a.
2021-05-11 13:11:05;0.5;....;n.a.
2021-05-11 13:11:15;0.5;....;n.a.
